frames,hit-ratio
2,0.021
3,0.0283333
4,0.0363333
5,0.046
6,0.0583333
7,0.0663333
8,0.0746667
9,0.0863333
10,0.0966667
11,0.108
12,0.121333
13,0.129
14,0.136667
15,0.147
